Harare Antelopes (97-186-21),41,17,6,65,21,24,7,.2971,45.0,40,4,5,3,1,2.800,1.222,5-10-1
Ham Fighters (134-155-15),61,36,9,107,41,17,5,.2785,64.2,64,5,6,4,1,3.479,1.299,10-5-1
Mighty Camels (140-130-34),56,27,10,99,34,18,1,.2947,54.2,64,3,2,6,0,4.280,1.134,6-9-1
Seaguel Gonzales (157-123-24),58,29,12,105,30,20,8,.2749,54.0,42,5,2,3,1,2.833,1.241,9-6-1
Dickeys Spicy BonERA (178-107-19),61,28,10,103,24,16,6,.3065,65.2,52,5,7,5,1,3.152,1.203,14-1-1
EEE's Parrots (152-130-22),45,28,2,65,13,12,4,.2711,41.2,51,3,3,6,0,3.888,1.464,1-14-1
The Bobos (139-135-30),48,29,8,86,29,24,3,.2319,50.2,57,3,0,6,3,5.684,1.283,9-7-0
Toronto Donkeys (130-156-18),31,13,1,42,9,11,2,.2500,60.0,47,4,5,3,5,2.250,0.883,7-9-0
Man Bear Puig (141-137-26),49,40,10,89,33,42,5,.2500,52.0,42,4,3,7,0,4.154,1.269,5-9-2
Explosive Renteria (136-145-23),67,32,10,109,29,14,4,.2991,63.2,66,4,4,4,2,3.251,1.084,9-5-2
