Ham Fighters (134-155-15),47,21,8,76,21,16,2,.2541,37.0,40,2,3,2,1,6.081,1.405,5-9-2
Mighty Camels (140-130-34),59,25,6,83,27,19,2,.3315,44.0,32,2,2,3,0,5.523,1.455,9-5-2
Man Bear Puig (141-137-26),69,31,10,116,35,20,3,.3317,33.2,33,3,1,4,0,3.475,1.248,9-6-1
Dickeys Spicy BonERA (178-107-19),57,27,9,95,30,10,2,.2938,57.1,49,4,2,9,0,3.924,1.203,6-9-1
Seaguel Gonzales (157-123-24),43,19,4,64,18,16,3,.2337,51.0,54,4,1,6,0,3.706,1.412,3-12-1
The Bobos (139-135-30),43,21,6,72,20,22,2,.2287,52.2,50,5,2,8,2,2.051,0.911,12-3-1
Explosive Renteria (136-145-23),45,21,10,82,20,13,0,.2761,54.2,48,3,2,3,3,3.457,0.988,5-9-2
Harare Antelopes (97-186-21),68,42,8,106,31,21,4,.3333,38.0,36,3,3,3,0,3.316,1.263,9-5-2
EEE's Parrots (152-130-22),43,18,3,63,16,11,1,.2500,54.2,69,5,4,3,2,2.634,1.098,8-6-2
Toronto Donkeys (130-156-18),47,24,9,83,31,15,1,.2249,35.0,29,3,1,1,2,3.086,1.286,6-8-2
