Ham Fighters (134-155-15),44,20,4,67,18,19,6,.2146,57.0,55,5,4,2,2,3.316,1.123,9-6-1
Toronto Donkeys (130-156-18),31,22,4,49,17,20,1,.1813,51.0,53,6,2,5,1,2.471,0.941,6-9-1
The Bobos (139-135-30),54,23,6,84,28,10,0,.3140,62.2,65,4,1,4,2,4.596,1.245,7-8-1
EEE's Parrots (152-130-22),41,29,11,83,32,22,3,.2485,39.0,38,4,3,3,0,1.846,0.897,8-7-1
Mighty Camels (140-130-34),52,24,4,78,16,19,1,.3152,39.1,36,1,1,2,1,6.178,1.500,3-11-2
Explosive Renteria (136-145-23),44,31,7,78,18,15,8,.2431,55.2,49,6,1,3,3,3.395,1.114,11-3-2
Dickeys Spicy BonERA (178-107-19),56,19,6,91,15,17,4,.2814,71.1,73,6,7,5,0,2.271,1.023,10-4-2
Seaguel Gonzales (157-123-24),51,19,9,95,34,16,3,.2417,57.2,66,5,5,5,3,2.809,1.145,4-10-2
Harare Antelopes (97-186-21),50,28,8,81,28,20,5,.2841,31.1,23,3,2,2,0,4.021,1.277,5-10-1
Man Bear Puig (141-137-26),48,23,8,82,35,24,2,.2540,53.0,35,5,1,7,1,1.698,1.000,10-5-1
