Man Bear Puig (141-137-26),56,32,12,102,31,19,4,.2435,31.2,32,2,1,4,0,3.695,1.295,6-10-0
Ham Fighters (134-155-15),62,26,6,93,30,16,6,.3333,48.1,40,5,3,1,1,2.607,1.283,10-6-0
Explosive Renteria (136-145-23),41,22,5,65,17,17,2,.2050,63.1,55,4,4,6,4,2.700,1.042,6-8-2
The Bobos (139-135-30),61,29,9,105,38,20,4,.2699,47.1,50,4,3,0,4,4.183,1.437,8-6-2
Toronto Donkeys (130-156-18),45,25,8,76,29,25,1,.2273,51.0,46,3,1,5,2,4.235,1.157,10-6-0
Dickeys Spicy BonERA (178-107-19),49,26,1,68,16,24,4,.2565,53.0,39,1,4,2,0,6.113,1.377,6-10-0
EEE's Parrots (152-130-22),60,30,10,104,27,9,2,.3000,47.2,46,3,2,5,1,2.266,0.839,10-5-1
Seaguel Gonzales (157-123-24),52,29,8,92,37,28,3,.2419,45.1,50,3,1,8,0,3.971,1.279,5-10-1
Harare Antelopes (97-186-21),66,37,9,109,32,20,8,.2986,57.1,48,5,3,2,3,5.180,1.395,3-13-0
Mighty Camels (140-130-34),72,34,11,124,40,30,7,.3445,72.1,60,8,8,7,0,1.618,0.885,13-3-0
