Ham Fighters (134-155-15),95,50,12,156,41,25,6,.2896,71.2,70,6,4,4,2,2.637,1.116,10-5-1
Seaguel Gonzales (157-123-24),71,40,9,112,33,40,5,.2545,81.1,80,5,4,9,4,3.320,1.217,5-10-1
Harare Antelopes (97-186-21),90,30,8,140,32,38,9,.3191,77.2,72,7,7,5,2,2.549,0.991,7-7-2
The Bobos (139-135-30),76,39,16,139,39,27,0,.2657,83.1,95,7,6,6,2,3.348,0.948,7-7-2
Man Bear Puig (141-137-26),95,42,12,147,53,20,11,.3135,76.1,73,6,2,13,0,2.830,1.035,8-8-0
Toronto Donkeys (130-156-18),70,40,18,137,39,34,3,.2823,77.0,66,7,5,0,6,2.455,0.935,8-8-0
Explosive Renteria (136-145-23),81,36,10,129,44,25,3,.2547,50.0,39,2,4,6,4,3.060,1.240,6-9-1
EEE's Parrots (152-130-22),80,37,11,130,39,28,7,.2759,74.1,79,6,4,3,3,3.632,1.372,9-6-1
Mighty Camels (140-130-34),82,40,10,131,31,32,7,.2742,75.0,66,7,4,6,6,3.960,1.240,4-11-1
Dickeys Spicy BonERA (178-107-19),98,42,16,166,45,17,2,.2979,85.2,80,7,5,5,2,3.047,1.109,11-4-1
