EEE's Parrots (152-130-22),45,22,5,72,17,17,5,.2744,75.2,63,6,5,5,2,2.974,0.925,8-7-1
Ham Fighters (134-155-15),69,28,6,102,32,14,5,.3136,58.0,45,5,2,6,0,3.569,1.310,7-8-1
Dickeys Spicy BonERA (178-107-19),56,25,11,100,35,19,6,.2814,68.1,58,8,5,7,0,1.844,1.098,12-2-2
Harare Antelopes (97-186-21),52,21,6,82,23,18,6,.3095,38.2,40,4,0,1,0,3.026,0.983,2-12-2
The Bobos (139-135-30),61,40,12,106,27,20,1,.2760,61.1,50,4,4,6,2,3.815,1.272,11-4-1
Man Bear Puig (141-137-26),59,20,5,83,19,10,4,.2837,44.0,33,4,5,5,1,3.273,1.432,4-11-1
Toronto Donkeys (130-156-18),49,22,6,77,23,17,3,.2487,49.0,53,4,4,5,3,1.653,0.878,7-9-0
Explosive Renteria (136-145-23),44,26,7,78,24,10,6,.2211,61.2,59,5,2,2,5,3.065,1.005,9-7-0
Seaguel Gonzales (157-123-24),52,27,8,83,31,23,4,.2723,61.0,69,5,3,6,1,2.951,1.148,11-2-3
Mighty Camels (140-130-34),42,26,9,81,24,20,4,.2211,57.2,53,5,5,4,1,3.746,1.214,2-11-3
