Ham Fighters (134-155-15),59,34,9,103,28,22,4,.2682,44.0,52,4,3,6,0,2.045,1.068,7-8-1
Harare Antelopes (97-186-21),58,26,6,95,25,23,6,.2829,46.1,42,5,3,3,1,1.748,0.950,8-7-1
Mighty Camels (140-130-34),75,37,4,109,28,32,2,.3394,52.2,46,4,7,6,0,3.076,0.987,11-4-1
EEE's Parrots (152-130-22),55,25,4,82,27,18,7,.2850,37.1,31,3,1,2,2,1.446,0.830,4-11-1
Seaguel Gonzales (157-123-24),49,29,3,71,21,16,7,.2188,50.2,40,6,2,3,0,2.309,1.066,9-6-1
Toronto Donkeys (130-156-18),44,19,5,66,22,27,0,.2444,49.0,38,3,2,6,1,6.245,1.449,6-9-1
Dickeys Spicy BonERA (178-107-19),42,29,9,80,29,13,5,.1927,60.0,64,6,4,6,0,1.950,0.933,11-5-0
The Bobos (139-135-30),58,21,7,87,25,16,3,.2636,47.0,41,5,1,4,3,3.064,1.106,5-11-0
Explosive Renteria (136-145-23),45,26,7,79,19,15,5,.2123,58.0,38,5,8,3,0,1.552,1.155,4-10-2
Man Bear Puig (141-137-26),48,26,8,79,20,14,2,.2437,61.1,54,6,4,4,1,2.348,1.092,10-4-2
