Ham Fighters (134-155-15),71,41,10,121,44,15,4,.3021,39.0,38,2,5,7,2,4.154,1.256,8-7-1
EEE's Parrots (152-130-22),46,23,10,85,32,22,5,.2035,45.2,55,4,3,6,0,2.365,1.095,7-8-1
Toronto Donkeys (130-156-18),51,33,6,83,26,20,2,.2383,46.2,54,4,4,3,2,1.929,0.857,7-8-1
Seaguel Gonzales (157-123-24),61,29,6,97,28,8,3,.2850,49.2,61,3,1,2,3,5.799,1.510,8-7-1
Explosive Renteria (136-145-23),55,25,2,68,13,13,6,.2750,68.0,60,6,5,3,1,2.912,0.985,9-6-1
Mighty Camels (140-130-34),58,38,11,102,34,32,1,.2749,52.0,35,4,4,1,1,6.404,1.577,6-9-1
The Bobos (139-135-30),46,27,5,69,23,22,5,.2359,41.1,37,3,2,3,1,3.048,1.016,5-9-2
Dickeys Spicy BonERA (178-107-19),71,34,12,125,31,21,4,.3586,57.2,42,3,3,3,0,4.682,1.422,9-5-2
Man Bear Puig (141-137-26),47,31,13,93,39,20,5,.2249,52.1,46,5,5,9,0,1.892,1.089,11-4-1
Harare Antelopes (97-186-21),49,26,5,77,23,16,5,.3311,45.0,37,4,4,1,1,2.000,1.067,4-11-1
