The Bobos (139-135-30),66,29,5,96,31,19,3,.2882,54.1,63,5,6,2,2,2.982,1.067,7-9-0
Ham Fighters (134-155-15),60,24,9,99,25,22,9,.3000,44.0,35,3,3,7,3,2.250,0.977,9-7-0
EEE's Parrots (152-130-22),65,33,12,118,36,18,5,.2968,48.0,54,3,5,6,0,4.500,1.208,14-2-0
Harare Antelopes (97-186-21),51,22,8,89,24,23,3,.2512,36.1,40,2,1,1,2,4.954,1.486,2-14-0
Seaguel Gonzales (157-123-24),54,26,9,92,20,20,2,.2714,43.2,47,5,2,1,2,3.298,1.374,4-10-2
Man Bear Puig (141-137-26),50,27,16,109,33,21,2,.2778,44.2,35,4,2,10,0,2.216,1.075,10-4-2
Dickeys Spicy BonERA (178-107-19),56,21,4,80,21,16,7,.2679,69.1,58,5,5,6,0,2.986,1.139,10-5-1
Explosive Renteria (136-145-23),50,25,7,83,29,12,3,.2392,52.2,46,5,3,4,2,4.101,1.234,5-10-1
Toronto Donkeys (130-156-18),44,25,8,75,17,23,1,.2667,48.0,45,4,1,3,5,3.938,1.271,1-13-2
Mighty Camels (140-130-34),58,37,14,115,34,26,1,.2723,59.2,57,4,2,7,0,2.112,1.006,13-1-2
