Ham Fighters (134-155-15),47,21,5,73,27,11,1,.2435,35.1,33,2,3,7,3,4.585,1.358,3-13-0
Dickeys Spicy BonERA (178-107-19),59,29,6,85,30,16,8,.2658,53.2,51,5,2,2,0,2.012,1.043,13-3-0
Harare Antelopes (97-186-21),43,21,6,72,24,22,6,.2606,52.0,43,4,3,4,2,4.327,1.250,9-7-0
Toronto Donkeys (130-156-18),46,22,3,69,25,25,0,.2659,43.1,39,2,2,2,0,3.738,1.223,7-9-0
Man Bear Puig (141-137-26),35,14,4,55,15,23,0,.2365,38.0,42,4,3,8,0,1.421,1.053,4-9-3
EEE's Parrots (152-130-22),66,26,12,115,42,20,2,.3267,46.1,47,4,3,7,0,2.914,1.079,9-4-3
Explosive Renteria (136-145-23),45,16,3,62,15,7,2,.2486,50.0,53,4,2,4,1,4.500,1.280,3-12-1
Seaguel Gonzales (157-123-24),51,31,4,77,29,16,8,.2277,55.1,51,6,3,1,1,2.114,0.849,12-3-1
Mighty Camels (140-130-34),59,34,9,105,30,17,1,.3010,55.2,60,3,2,3,2,4.850,1.383,10-4-2
The Bobos (139-135-30),40,15,3,58,17,14,1,.2260,53.2,53,3,4,1,4,2.851,1.248,4-10-2
