Ham Fighters (134-155-15),55,28,2,80,22,24,12,.2644,45.0,40,1,2,7,2,3.200,1.178,8-8-0
Man Bear Puig (141-137-26),43,30,9,79,26,27,2,.2722,35.0,29,3,3,4,0,2.829,1.371,8-8-0
Explosive Renteria (136-145-23),61,26,5,90,26,16,4,.3005,59.2,59,4,5,7,2,2.413,1.173,13-2-1
Toronto Donkeys (130-156-18),41,26,10,84,24,15,0,.2579,47.1,49,3,3,4,3,3.993,1.331,2-13-1
EEE's Parrots (152-130-22),43,21,3,70,20,12,2,.2251,48.1,48,4,5,5,0,3.724,0.972,4-10-2
The Bobos (139-135-30),59,27,4,84,30,24,3,.2837,48.1,45,3,2,5,2,3.166,1.055,10-4-2
Seaguel Gonzales (157-123-24),50,27,6,77,26,24,3,.2500,43.2,40,4,1,3,2,1.649,1.053,7-8-1
Dickeys Spicy BonERA (178-107-19),63,33,5,95,25,24,9,.3073,52.2,35,3,2,8,0,5.981,1.633,8-7-1
Mighty Camels (140-130-34),54,25,9,90,25,20,3,.2888,42.2,46,4,3,1,2,1.898,0.891,10-3-3
Harare Antelopes (97-186-21),33,24,7,58,21,18,6,.2245,43.1,45,4,3,2,2,4.362,1.454,3-10-3
