Ham Fighters (134-155-15),62,32,7,95,24,14,7,.2743,56.0,51,4,4,5,1,5.464,1.446,9-7-0
Explosive Renteria (136-145-23),48,18,10,85,30,13,0,.2513,48.0,45,5,5,7,0,2.063,1.167,7-9-0
Harare Antelopes (97-186-21),43,24,6,64,25,26,9,.2575,35.1,26,4,3,1,3,2.038,1.132,7-8-1
Seaguel Gonzales (157-123-24),63,30,8,102,24,21,5,.3182,50.1,60,3,3,4,1,4.470,1.411,8-7-1
EEE's Parrots (152-130-22),46,22,6,76,24,13,1,.2335,46.2,51,4,5,1,1,3.471,1.071,6-10-0
Dickeys Spicy BonERA (178-107-19),51,27,8,89,20,17,3,.2742,58.2,59,3,0,6,0,5.063,1.381,10-6-0
Mighty Camels (140-130-34),57,22,4,79,22,17,7,.3081,45.2,46,2,3,4,1,4.336,1.314,4-11-1
Man Bear Puig (141-137-26),47,25,11,98,34,21,1,.2315,51.1,51,3,3,8,0,2.630,1.286,11-4-1
Toronto Donkeys (130-156-18),64,41,14,119,38,32,4,.3333,64.2,64,4,2,6,2,3.758,1.237,9-7-0
The Bobos (139-135-30),37,20,3,49,19,21,0,.2044,71.0,80,6,7,4,4,2.408,0.972,7-9-0
