Explosive Renteria (136-145-23),55,26,9,96,30,14,7,.2607,64.1,67,8,4,2,3,1.539,0.902,12-2-2
Ham Fighters (134-155-15),41,21,5,60,18,16,9,.2147,48.2,52,4,4,2,2,3.884,1.315,2-12-2
Harare Antelopes (97-186-21),50,31,6,78,31,19,4,.2809,28.1,24,3,2,4,2,4.447,1.235,7-8-1
Dickeys Spicy BonERA (178-107-19),45,24,7,76,25,16,4,.2308,77.2,62,6,3,7,0,2.897,1.043,8-7-1
The Bobos (139-135-30),52,21,5,80,25,12,4,.2562,50.0,50,2,2,1,2,4.860,1.380,5-8-3
Seaguel Gonzales (157-123-24),48,23,5,78,25,12,2,.2353,58.0,58,4,1,5,3,4.034,1.379,8-5-3
Man Bear Puig (141-137-26),50,29,14,103,29,21,2,.2825,37.2,32,2,1,7,0,3.823,1.221,8-6-2
Mighty Camels (140-130-34),61,21,8,98,29,18,2,.2811,43.1,48,3,5,2,3,5.192,1.315,6-8-2
Toronto Donkeys (130-156-18),54,36,9,96,38,16,2,.2714,53.2,46,6,4,0,3,2.180,1.043,7-6-3
EEE's Parrots (152-130-22),36,20,4,61,20,17,2,.2022,59.2,54,6,4,8,0,1.358,0.972,6-7-3
