Ham Fighters (134-155-15),42,26,4,63,18,17,2,.2270,64.2,83,4,3,6,2,3.758,1.113,4-9-3
The Bobos (139-135-30),59,28,6,91,30,28,6,.2837,61.1,59,6,3,6,2,4.109,1.239,9-4-3
Harare Antelopes (97-186-21),64,32,4,97,23,16,10,.3019,36.0,33,2,2,1,0,4.000,1.333,4-11-1
EEE's Parrots (152-130-22),53,33,6,84,23,26,8,.2704,68.2,67,6,4,7,2,2.752,1.034,11-4-1
Man Bear Puig (141-137-26),42,23,5,61,22,23,4,.2428,42.0,33,4,2,1,1,4.714,1.190,2-12-2
Seaguel Gonzales (157-123-24),56,26,5,85,32,19,8,.2593,46.2,46,4,3,2,4,2.700,1.200,12-2-2
Explosive Renteria (136-145-23),46,25,10,89,25,11,1,.2212,38.1,36,1,2,2,0,7.278,2.035,1-14-1
Dickeys Spicy BonERA (178-107-19),66,27,9,106,35,18,4,.2933,66.1,59,6,3,8,0,2.849,1.010,14-1-1
Mighty Camels (140-130-34),62,42,10,104,34,26,6,.2938,43.1,43,3,4,5,0,3.531,1.338,6-8-2
Toronto Donkeys (130-156-18),50,38,15,103,34,27,1,.2415,48.2,47,4,4,2,4,2.589,1.295,8-6-2
