Dickeys Spicy BonERA (178-107-19),62,30,11,112,36,18,1,.2925,58.0,44,4,6,5,0,5.431,1.379,11-5-0
Ham Fighters (134-155-15),50,24,6,81,26,13,5,.2439,57.1,43,5,2,3,3,3.297,1.169,5-11-0
Toronto Donkeys (130-156-18),65,38,15,128,40,21,3,.3533,51.1,52,4,4,2,3,3.156,1.169,11-3-2
Harare Antelopes (97-186-21),55,27,5,78,25,12,4,.2973,37.1,25,4,3,2,2,1.688,0.911,3-11-2
EEE's Parrots (152-130-22),47,28,10,89,27,15,0,.2461,54.1,54,5,2,8,1,2.153,1.086,13-2-1
Man Bear Puig (141-137-26),39,21,6,65,26,16,2,.2120,42.0,37,2,0,2,1,5.143,1.476,2-13-1
Seaguel Gonzales (157-123-24),57,38,12,99,36,14,5,.2969,42.1,43,1,2,4,5,4.677,1.181,11-3-2
Explosive Renteria (136-145-23),42,26,9,77,31,14,5,.2234,40.2,31,3,5,2,3,3.762,1.426,3-11-2
The Bobos (139-135-30),49,24,10,88,30,24,3,.2450,67.1,59,6,2,2,2,3.342,0.906,4-8-4
Mighty Camels (140-130-34),62,33,4,95,23,17,4,.2925,67.1,74,6,6,2,2,3.074,0.980,8-4-4
